id,operations_num,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,thread_num,throughput,throughput_read,throughput_write,init_table_size,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,pgm,error_bound,table_size,bli_initial_filled_ratio,bli_sbuck_size,bli_dbuck_size,
20241101022540,100000000,0.5,0.5,0,0,0,../datasets/books,buckindex,1,3551702,0,0,100000000,3,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.3,4,131072,
20241101022658,100000000,0.5,0.5,0,0,0,../datasets/books,buckindex,1,3758714,0,0,100000000,3,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.4,4,131072,
20241101022814,100000000,0.5,0.5,0,0,0,../datasets/books,buckindex,1,3919548,0,0,100000000,3,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.5,4,131072,
20241101022929,100000000,0.5,0.5,0,0,0,../datasets/books,buckindex,1,3945483,0,0,100000000,3,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,4,131072,
20241101023057,100000000,0.5,0.5,0,0,0,../datasets/books,buckindex,1,2658187,0,0,100000000,5,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.7,4,131072,
20241101023226,100000000,0.5,0.5,0,0,0,../datasets/books,buckindex,1,2530750,0,0,100000000,6,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.8,4,131072,
20241101023356,100000000,0.5,0.5,0,0,0,../datasets/books,buckindex,1,2471401,0,0,100000000,6,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.9,4,131072,
20241101023515,100000000,0.5,0.5,0,0,0,../datasets/fb,buckindex,1,3657937,0,0,100000000,3,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.3,4,131072,
20241101023628,100000000,0.5,0.5,0,0,0,../datasets/fb,buckindex,1,4387545,0,0,100000000,2,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.4,4,131072,
20241101023740,100000000,0.5,0.5,0,0,0,../datasets/fb,buckindex,1,4561413,0,0,100000000,2,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.5,4,131072,
20241101023852,100000000,0.5,0.5,0,0,0,../datasets/fb,buckindex,1,4534156,0,0,100000000,2,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,4,131072,
20241101024017,100000000,0.5,0.5,0,0,0,../datasets/fb,buckindex,1,2831377,0,0,100000000,5,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.7,4,131072,
20241101024145,100000000,0.5,0.5,0,0,0,../datasets/fb,buckindex,1,2610239,0,0,100000000,6,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.8,4,131072,
20241101024316,100000000,0.5,0.5,0,0,0,../datasets/fb,buckindex,1,2430191,0,0,100000000,7,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.9,4,131072,
20241101024441,100000000,0.5,0.5,0,0,0,../datasets/osm,buckindex,1,3021936,0,0,100000000,4,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.3,4,131072,
20241101024603,100000000,0.5,0.5,0,0,0,../datasets/osm,buckindex,1,3174073,0,0,100000000,4,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.4,4,131072,
20241101024723,100000000,0.5,0.5,0,0,0,../datasets/osm,buckindex,1,3349041,0,0,100000000,4,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.5,4,131072,
20241101024843,100000000,0.5,0.5,0,0,0,../datasets/osm,buckindex,1,3390637,0,0,100000000,4,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,4,131072,
20241101025015,100000000,0.5,0.5,0,0,0,../datasets/osm,buckindex,1,2371055,0,0,100000000,7,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.7,4,131072,
20241101025149,100000000,0.5,0.5,0,0,0,../datasets/osm,buckindex,1,2242552,0,0,100000000,9,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.8,4,131072,
20241101025325,100000000,0.5,0.5,0,0,0,../datasets/osm,buckindex,1,2135909,0,0,100000000,10,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.9,4,131072,
